name,question,response
Best Buy,"Alexa, open Best Buy",You have Best Buy enabled. Do you want to open it?
Best Buy,Yes,<Audio only response>
Best Buy,help,"For Help, please visit the help pages on the Amazon web site."
Best Buy,stop,
Best Buy,quit,
Best Buy,"Alexa, open Best Buy",You have Best Buy enabled. Do you want to open it?
Best Buy,Yes,"Welcome to Best Buy! You can discover Best Buy's Deals of the day, check the status of your order, and get store hours and locations. Or, for frequently asked questions and tech tips, you can say things like, 'how to set a default printer' or 'help with my Best Buy credit card'. If you link your Best Buy account in the Alexa app, you can also buy Best Buy products. What can I help you with today?"
Best Buy,help,
Best Buy,stop,
Best Buy,quit,
MyGroceryList,"Alexa, open MyGroceryList","Sorry, I'm not sure."
MyGroceryList,help,"For Help, please visit the help pages on the Amazon web site."
MyGroceryList,stop,
MyGroceryList,quit,
MyGroceryList,"Alexa, open MyGroceryList","Sorry, I don't know that one."
MyGroceryList,help,"For Help, please visit the help pages on the Amazon web site."
MyGroceryList,stop,
MyGroceryList,quit,
MyGroceryList,"Alexa, open MyGroceryList","Sorry, I don't know that."
MyGroceryList,help,"For Help, please visit the help pages on the Amazon web site."
MyGroceryList,stop,
MyGroceryList,quit,
Listonic - smart grocery list,"Alexa, open Listonic - smart grocery list",I couldn't find a list called listonic - smart grocery.
Listonic - smart grocery list,help,"For Help, please visit the help pages on the Amazon web site."
Listonic - smart grocery list,stop,
Listonic - smart grocery list,quit,
Listonic - smart grocery list,"Alexa, open Listonic - smart grocery list",I couldn't find a list called listonic - smart grocery.
Listonic - smart grocery list,help,"For Help, please visit the help pages on the Amazon web site."
Listonic - smart grocery list,stop,
Listonic - smart grocery list,quit,
Listonic - smart grocery list,"Alexa, open Listonic - smart grocery list",I couldn't find a list called listonic - smart grocery.
Listonic - smart grocery list,help,"For Help, please visit the help pages on the Amazon web site."
Listonic - smart grocery list,stop,
Listonic - smart grocery list,quit,
Kia Niro,"Alexa, open Kia Niro","Sorry, the Kia Niro skill is no longer available. You can find more skills in the Alexa app."
Kia Niro,help,"For Help, please visit the help pages on the Amazon web site."
Kia Niro,stop,
Kia Niro,quit,
Kia Niro,"Alexa, open Kia Niro","Sorry, the Kia Niro skill is no longer available. You can find more skills in the Alexa app."
Kia Niro,help,"For Help, please visit the help pages on the Amazon web site."
Kia Niro,stop,
Kia Niro,quit,
Kia Niro,"Alexa, open Kia Niro","Sorry, the Kia Niro skill is no longer available. You can find more skills in the Alexa app."
Kia Niro,help,"For Help, please visit the help pages on the Amazon web site."
Kia Niro,stop,
Kia Niro,quit,
1-800-Flowers,"Alexa, open 1-800-Flowers",You have 1-800-Flowers enabled. Do you want to open it?
1-800-Flowers,Yes,
1-800-Flowers,help,"For Help, please visit the help pages on the Amazon web site."
1-800-Flowers,stop,
1-800-Flowers,quit,
1-800-Flowers,"Alexa, open 1-800-Flowers",You have 1-800-Flowers enabled. Do you want to open it?
1-800-Flowers,Yes,"In order to order flowers, you'll need to enable Amazon Pay permission in the 1 800 Flowers Skill from your settings on the Alexa app. Please come back once it's enabled. See you soon!"
1-800-Flowers,help,"For Help, please visit the help pages on the Amazon web site."
1-800-Flowers,stop,
1-800-Flowers,quit,
1-800-Flowers,"Alexa, open 1-800-Flowers",You have 1-800-Flowers enabled. Do you want to open it?
1-800-Flowers,Yes,"In order to order flowers, you'll need to enable Amazon Pay permission in the 1 800 Flowers Skill from your settings on the Alexa app. Please come back once it's enabled. See you soon!"
1-800-Flowers,help,"For Help, please visit the help pages on the Amazon web site."
1-800-Flowers,stop,
1-800-Flowers,quit,
Steal of the week,"Alexa, open Steal of the week","Sorry, I don't know that one."
Steal of the week,help,"For Help, please visit the help pages on the Amazon web site."
Steal of the week,stop,
Steal of the week,quit,
Steal of the week,"Alexa, open Steal of the week","Sorry, I’m not sure about that."
Steal of the week,help,"For Help, please visit the help pages on the Amazon web site."
Steal of the week,stop,
Steal of the week,quit,
Steal of the week,"Alexa, open Steal of the week","Hmm, I don't know that."
Steal of the week,help,"For Help, please visit the help pages on the Amazon web site."
Steal of the week,stop,
Steal of the week,quit,
MailHaven Package Tracker,"Alexa, open MailHaven Package Tracker"
MailHaven Package Tracker,help,"For Help, please visit the help pages on the Amazon web site."
MailHaven Package Tracker,stop,
MailHaven Package Tracker,quit,
MailHaven Package Tracker,"Alexa, open MailHaven Package Tracker",Please use the Alexa app to link your account with MailHaven.
MailHaven Package Tracker,help,"For Help, please visit the help pages on the Amazon web site."
MailHaven Package Tracker,stop,
MailHaven Package Tracker,quit,
MailHaven Package Tracker,"Alexa, open MailHaven Package Tracker",Please use the Alexa app to link your account with MailHaven.
MailHaven Package Tracker,help,"For Help, please visit the help pages on the Amazon web site."
MailHaven Package Tracker,stop,
MailHaven Package Tracker,quit,
Edmunds,"Alexa, open Edmunds","Sorry, I’m not sure about that."
Edmunds,help,"For Help, please visit the help pages on the Amazon web site."
Edmunds,stop,
Edmunds,quit,
Edmunds,"Alexa, open Edmunds","Sorry, I don't know that."
Edmunds,help,"For Help, please visit the help pages on the Amazon web site."
Edmunds,stop,
Edmunds,quit,
Edmunds,"Alexa, open Edmunds","Hmm, I don't know that one."
Edmunds,help,"For Help, please visit the help pages on the Amazon web site."
Edmunds,stop,
Edmunds,quit,
eBags,"Alexa, open eBags","Hmm, I don't know that one."
eBags,help,"For Help, please visit the help pages on the Amazon web site."
eBags,stop,
eBags,quit,
eBags,"Alexa, open eBags","Sorry, I don't know that one."
eBags,help,"For Help, please visit the help pages on the Amazon web site."
eBags,stop,
eBags,quit,
eBags,"Alexa, open eBags","Hmm, I don't know that."
eBags,help,"For Help, please visit the help pages on the Amazon web site."
eBags,stop,
eBags,quit,
Product Feedback,"Alexa, open Product Feedback",
Product Feedback,help,"For Help, please visit the help pages on the Amazon web site."
Product Feedback,stop,
Product Feedback,quit,
Product Feedback,"Alexa, open Product Feedback",
Product Feedback,help,"For Help, please visit the help pages on the Amazon web site."
Product Feedback,stop,
Product Feedback,quit,
Product Feedback,"Alexa, open Product Feedback",
Product Feedback,help,"For Help, please visit the help pages on the Amazon web site."
Product Feedback,stop,
Product Feedback,quit,
My Grocer,"Alexa, open My Grocer","Sorry, I'm not sure."
My Grocer,help,"For Help, please visit the help pages on the Amazon web site."
My Grocer,stop,
My Grocer,quit,
My Grocer,"Alexa, open My Grocer","Sorry, I don't know that."
My Grocer,help,"For Help, please visit the help pages on the Amazon web site."
My Grocer,stop,
My Grocer,quit,
My Grocer,"Alexa, open My Grocer","Hmm, I don't know that one."
My Grocer,help,"For Help, please visit the help pages on the Amazon web site."
My Grocer,stop,
My Grocer,quit,
Kit,"Alexa, open Kit","Sorry, I'm not sure."
Kit,help,"For Help, please visit the help pages on the Amazon web site."
Kit,stop,
Kit,quit,
Kit,"Alexa, open Kit","Hmm, I don't know that."
Kit,help,"For Help, please visit the help pages on the Amazon web site."
Kit,stop,
Kit,quit,
Kit,"Alexa, open Kit","Hmm, I don't know that."
Kit,help,"For Help, please visit the help pages on the Amazon web site."
Kit,stop,
Kit,quit,
BatteryBoot,"Alexa, open BatteryBoot","Hmm, I don't know that one."
BatteryBoot,help,"For Help, please visit the help pages on the Amazon web site."
BatteryBoot,stop,
BatteryBoot,quit,
BatteryBoot,"Alexa, open BatteryBoot","Hmm, I don't know that one."
BatteryBoot,help,"For Help, please visit the help pages on the Amazon web site."
BatteryBoot,stop,
BatteryBoot,quit,
BatteryBoot,"Alexa, open BatteryBoot","Hmm, I don't know that."
BatteryBoot,help,"For Help, please visit the help pages on the Amazon web site."
BatteryBoot,stop,
BatteryBoot,quit,
Purell,"Alexa, open Purell",<Audio only response>
Purell,help,"For Help, please visit the help pages on the Amazon web site."
Purell,stop,
Purell,quit,
Purell,"Alexa, open Purell",<Audio only response>
Purell,help,"For Help, please visit the help pages on the Amazon web site."
Purell,stop,
Purell,quit,
Purell,"Alexa, open Purell",<Audio only response>
Purell,help,"For Help, please visit the help pages on the Amazon web site."
Purell,stop,
Purell,quit,
Stupid Deal,"Alexa, open Stupid Deal","Sorry, I'm not sure."
Stupid Deal,help,"For Help, please visit the help pages on the Amazon web site."
Stupid Deal,stop,
Stupid Deal,quit,
Stupid Deal,"Alexa, open Stupid Deal","Sorry, I don't know that one."
Stupid Deal,help,"For Help, please visit the help pages on the Amazon web site."
Stupid Deal,stop,
Stupid Deal,quit,
Stupid Deal,"Alexa, open Stupid Deal","Hmm, I'm not sure."
Stupid Deal,help,"For Help, please visit the help pages on the Amazon web site."
Stupid Deal,stop,
Stupid Deal,quit,
publix chicken tender subs,"Alexa, open publix chicken tender subs","Sorry, I don't know that one."
publix chicken tender subs,help,"For Help, please visit the help pages on the Amazon web site."
publix chicken tender subs,stop,
publix chicken tender subs,quit,
publix chicken tender subs,"Alexa, open publix chicken tender subs","Sorry, I don't know that."
publix chicken tender subs,help,"For Help, please visit the help pages on the Amazon web site."
publix chicken tender subs,stop,
publix chicken tender subs,quit,
