name,question,response
Time Tone,"Alexa, open Time Tone",
Time Tone,help,"For Help, please visit the help pages on the Amazon web site."
Time Tone,stop,
Time Tone,quit,
Relaxing Cat purring Sounds,"Alexa, open Relaxing Cat purring Sounds",Would You Like To hear some relaxing cat purring? just say yes to start
Relaxing Cat purring Sounds,help,"With this skill, you can listen to Healing cat purring sounds every day. If you would like to hear the relaxing sounds just say yes, if not say no"
Relaxing Cat purring Sounds,stop,"Come back tomorrow to play this peaceful sound again. Just say, ""Alexa, open relaxing cat purring sounds"" to open the skill again."
Relaxing Cat purring Sounds,quit,
Rain sounds,"Alexa, open Rain sounds","Thanks for enjoying Rain Sounds! If you haven't already, please show your support by leaving a 5-star review in the Alexa app for Rain Sounds, by Invoked Apps. Now back to playing Rain Sounds."
Rain sounds,help,"For Help, please visit the help pages on the Amazon web site."
Rain sounds,stop,
Rain sounds,quit,
Alarm Clock,"Alexa, open Alarm Clock",I found a few matches for that.
Alarm Clock,help,"For Help, please visit the help pages on the Amazon web site."
Alarm Clock,stop,
Alarm Clock,quit,
Toggl Timer,"Alexa, open Toggl Timer","You have Meditation Timer: Relax, Focus & Sleep enabled. Do you want to open it?"
Toggl Timer,Yes,You were listening to 10 minutes of Silence. Would you like to resume?
Toggl Timer,help,Say yes to resume or no to start a new meditation.
Toggl Timer,stop,Good bye!
Toggl Timer,quit,
Celebrity Coffee Quotes,"Alexa, open Celebrity Coffee Quotes","Welcome to celebrity coffee quotes. Would you like to hear something that a famous person once said about coffee? Just say ""yes"" or ""no""."
Celebrity Coffee Quotes,help,"With this skill, you can hear what a famous person once said about coffee. So would you like to hear one now? You can say ""yes"" or ""no."""
Celebrity Coffee Quotes,stop,"""OK. Come back tomorrow to hear what another famous person once said about coffee. Just say, ""Alexa, open Celebrity Coffee Quotes"" to open the skill again."""
Celebrity Coffee Quotes,quit,
