name,question,response
TubeBuddy,help,"For Help, please visit the help pages on the Amazon web site."
TubeBuddy,stop,
TubeBuddy,quit,
Have a laugh,"Alexa, open Have a laugh",<Audio only response>
Have a laugh,help,"For Help, please visit the help pages on the Amazon web site."
Have a laugh,stop,
Have a laugh,quit,
Tweet Reader,"Alexa, open Tweet Reader","Welcome to Twitter Reader! I can tell you what is happening, can read your latest mentions, the last tweets you liked, or were posted by you. I can also search for trends by city. When I am reading out a list of tweets or trends, you can ask me to tell you more about the tweet or trend by number. Now, how can I help you?"
Tweet Reader,help,"I can do several things for you! I can tell you the top tweets on your home timeline, the last tweets you liked, recent tweets that mention you, or were posted by you. I can also search for trends by city. When I am reading out a list of tweets or trends, you can ask me to tell you more about the tweet or trend by number. Now, how can I help you?"
Tweet Reader,stop,Goodbye
Tweet Reader,quit,
social post,"Alexa, open social post","Welcome to social post, you should be able to read your latest facebook post. just say read my post"
social post,help,You can say things like read my post or play
social post,stop,"Ok, see you next time!"
social post,quit,
Chat Bot for Slack,"Alexa, open Chat Bot for Slack"
Chat Bot for Slack,help,"For Help, please visit the help pages on the Amazon web site."
Chat Bot for Slack,stop,
Chat Bot for Slack,quit,
I Love You Too,"Alexa, open I Love You Too",
I Love You Too,help,"For Help, please visit the help pages on the Amazon web site."
I Love You Too,stop,
I Love You Too,quit,
Magical Adventure,"Alexa, open Magical Adventure",<Short audio>
Magical Adventure,help,"In timeless Adventure, you wander through the game choosing options prompted at each scene. But some actions are available without prompting. Try using action commands on things you find, like ""look at, take, move, open, or drink"". For example, you can say ""move rock"" or ""drink water"". At any time you can issue the following commands. To see what your carrying, say ""Inventory"". To hear your options again, say ""repeat options."" To hear the entire scene again, say ""repeat scene."" To hear more verbose descriptions say ""verbose descriptions. To hear briefer descriptions say ""brief descriptions"". To get hints say ""hint"". In order to revisit the previous scene, say ""go back."" To start the game over, say ""start again."" To hear these commands again, say ""help"", or go to Timeless Adventure on the Alexa store to see a full list.Now, what would you like to do?"
Magical Adventure,stop,Thank you for playing Timeless Adventure.Goodbye.
Magical Adventure,quit,
Call Handler,"Alexa, open Call Handler",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Call Handler,Yes,What stock price would you like me to look up?
Call Handler,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Call Handler,stop,O.K.
Call Handler,quit,
Newton Mail,"Alexa, open Newton Mail",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Newton Mail,Yes,What stock price would you like me to look up?
Newton Mail,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Newton Mail,stop,O.K.
Newton Mail,quit,
The Instagram Stories Flash Briefing,"Alexa, open The Instagram Stories Flash Briefing",Here's your news.
The Instagram Stories Flash Briefing,help,"For Help, please visit the help pages on the Amazon web site."
The Instagram Stories Flash Briefing,stop,
The Instagram Stories Flash Briefing,quit,
Husseini Islamic Center,"Alexa, open Husseini Islamic Center",Welcome to the Husseini Islamic Center You can ask if the live stream is playing or what the program is today
Husseini Islamic Center,help,"Please refer to the skill description for some examples of some things you can ask this skill. For example, what is the program today .. or .. is the live stream playing?"
Husseini Islamic Center,stop,Thank You for using the H.I.C skill! .. Goodbye
Husseini Islamic Center,quit,
True Or False: Animal Edition,"Alexa, open True Or False: Animal Edition",<Short audio>
True Or False: Animal Edition,help,"You are playing ‘True or False’, a fun game you can play alone or with friends. You can play from 1 up to 20 players. How many players would like to play this time?"
True Or False: Animal Edition,stop,Thanks for playing True Or False.
True Or False: Animal Edition,quit,
My Community,"Alexa, open My Community",You have Stock Prices by Opening Bell enabled. Do you want to open it?
My Community,Yes,What stock price would you like me to look up?
My Community,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
My Community,stop,O.K.
My Community,quit,
Date Night,"Alexa, open Date Night",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Date Night,Yes,What stock price would you like me to look up?
Date Night,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Date Night,stop,O.K.
Date Night,quit,
Happy Wife,"Alexa, open Happy Wife",<Audio only response>
Happy Wife,help,"For Help, please visit the help pages on the Amazon web site."
Happy Wife,stop,
Happy Wife,quit,
