name,question,response
Listonic - smart grocery list,"""Alexa, use Listonic""","Hmm, I don't know that."
Listonic - smart grocery list,"""Add apple pie to my list""",I've added apple pie to your Shopping list.
Listonic - smart grocery list,quit,
Listonic - smart grocery list,"""Alexa, use Listonic""","Sorry, I don't know that."
Listonic - smart grocery list,"""Tick off applesauce on Birthday Party""","Hmm, I don't know that one."
Listonic - smart grocery list,quit,
Kia Niro,"""Alexa, ask Kia Niro to get started""","Sorry, the Kia Niro skill is no longer available. You can find more skills in the Alexa app."
Kia Niro,quit,
Kia Niro,"""Alexa, ask Kia Niro what its miles per gallon is""","Hmm, I don't know that one."
Kia Niro,quit,
Kia Niro,quit,
Kia Niro,"""Alexa, ask Kia Niro what it costs""","Sorry, I don't know that."
Kia Niro,quit,
Kia Niro,quit,
1-800-Flowers,"""Alexa ask 1-800-Flowers to order flowers for my sister for her birthday""","Sorry, I don't know that one."
1-800-Flowers,quit,
1-800-Flowers,"""Alexa tell 1-800-Flowers I want to send a gift for my grandpa""","Hmm, I don't know that one."
1-800-Flowers,quit,
1-800-Flowers,quit,
1-800-Flowers,"""Alexa tell 1-800-Flowers to send my wife roses""",You have 1-800-Flowers enabled. Do you want to open it?
1-800-Flowers,Yes,
1-800-Flowers,"""Alexa tell 1-800-Flowers to send my wife roses""",You have 1-800-Flowers enabled. Do you want to open it?
1-800-Flowers,quit,
1-800-Flowers,quit,
Steal of the week,"""Alexa open today's steal""",I need to know your phone number in order to text you the deals. Please enable permissions in the Amazon Alexa app.
Steal of the week,quit,
Steal of the week,"""Alexa, what's my Flash Briefing?""",Here's your news.
Steal of the week,quit,
Steal of the week,quit,
Steal of the week,"""Alexa open amazon pay deals""",<Audio only response>
Steal of the week,quit,
Steal of the week,quit,
MailHaven Package Tracker,"""Alexa ask mailhaven where is my stuff""",Please use the Alexa app to link your account with MailHaven.
MailHaven Package Tracker,quit,
MailHaven Package Tracker,"""Alexa ask mailhaven the status of my last package""",Please use the Alexa app to link your account with MailHaven.
MailHaven Package Tracker,quit,
MailHaven Package Tracker,quit,
